Date,AAPL,TXN
2022-01-01,174.78,177.21
2022-02-01,165.119995,169.990005
2022-03-01,174.610001,183.479996
2022-04-01,157.649994,170.25
2022-05-01,148.839996,176.759995
2022-06-01,136.720001,153.649994
2022-07-01,162.509995,178.889999
2022-08-01,157.220001,165.210007
2022-09-01,138.199997,154.779999
2022-10-01,153.339996,160.630005
2022-11-01,148.029999,180.460007
2022-12-01,129.929993,165.220001
2023-01-01,144.289993,177.210007
2023-02-01,147.410004,171.449997
2023-03-01,164.899994,186.009995
2023-04-01,169.679993,167.199997
2023-05-01,177.25,173.880005
2023-06-01,193.970001,180.020004
2023-07-01,196.449997,180
2023-08-01,187.869995,168.059998
2023-09-01,171.210007,159.009995
2023-10-01,170.770004,142.009995
2023-11-01,189.949997,152.710007
2023-12-01,192.529999,170.460007
2024-01-01,,160.119995
2024-02-01,,156.850006
